date,symbol,side,shares,price
2024-01-02,UBER,buy,342.583070128157,58.380001068115234
2024-01-02,ABT,buy,191.37009523973603,104.50953674316406
2024-01-02,SLB,buy,409.3440000999375,48.85866165161133
2024-01-02,LOW,buy,95.96390342138639,208.4116973876953
2024-01-02,MA,buy,47.98823501188798,415.7274169921875
2024-01-09,UBER,sell,342.583070128157,60.29999923706055
2024-01-09,ABT,sell,191.37009523973603,107.2495346069336
2024-01-09,LOW,sell,95.96390342138639,206.8484649658203
2024-01-09,MA,sell,47.98823501188798,417.0833740234375
2024-01-09,JPM,buy,122.6246715336014,162.66107177734375
2024-01-09,SLB,buy,27.65206485616733,45.64402770996094
2024-01-09,PFE,buy,784.937682420106,25.411266326904297
2024-01-09,PM,buy,228.89148528355395,87.14286804199219
2024-01-09,EOG,buy,185.3950098360957,107.15096282958984
2024-01-17,SLB,sell,436.9960649561048,45.014259338378906
2024-01-17,PFE,sell,784.937682420106,24.33085823059082
2024-01-17,PM,sell,228.89148528355395,85.42899322509766
2024-01-17,EOG,sell,185.3950098360957,102.9361572265625
2024-01-17,BA,buy,95.47531755153301,203.05999755859375
2024-01-17,NEM,buy,583.0272616548776,33.25267791748047
2024-01-17,JPM,sell,0.8903160324929758,159.25839233398438
2024-01-17,COP,buy,193.17740088891384,100.35965728759766
2024-01-17,SBUX,buy,223.06376457353068,86.56586456298828
2024-01-24,BA,sell,95.47531755153301,214.1300048828125
2024-01-24,NEM,sell,583.0272616548776,32.97501754760742
2024-01-24,COP,sell,193.17740088891384,102.31890106201172
2024-01-24,SBUX,sell,223.06376457353068,86.82054901123047
2024-01-24,CL,buy,259.3699826446958,76.01847839355469
2024-01-24,JPM,sell,0.4059073277151555,162.50856018066406
2024-01-24,JNJ,buy,132.58198644728023,148.71485900878906
2024-01-24,WMT,buy,377.30049393146714,52.25784683227539
2024-01-24,UNH,buy,40.129431146221876,489.36859130859375
2024-01-31,JPM,sell,121.32844817339327,166.18765258789062
2024-01-31,CL,sell,259.3699826446958,79.92952728271484
2024-01-31,JNJ,sell,132.58198644728023,148.6587371826172
2024-01-31,WMT,sell,377.30049393146714,53.804412841796875
2024-01-31,UNH,sell,40.129431146221876,487.9478759765625
2024-01-31,TSLA,buy,107.30480710299548,187.2899932861328
2024-01-31,NKE,buy,207.43558115658615,96.88365173339844
2024-01-31,BA,buy,95.22894826215084,211.0399932861328
2024-01-31,MRK,buy,178.67597046344306,112.4780044555664
2024-01-31,SLB,buy,436.84133865177455,45.77561569213867
2024-02-07,TSLA,sell,107.30480710299548,187.5800018310547
2024-02-07,NKE,sell,207.43558115658615,99.04022979736328
2024-02-07,BA,sell,95.22894826215084,211.9199981689453
2024-02-07,MRK,sell,178.67597046344306,118.7081527709961
2024-02-07,SLB,sell,436.84133865177455,44.85475158691406
2024-02-07,NEM,buy,631.0532559060616,32.21862030029297
2024-02-07,COST,buy,28.557320415223284,711.9598388671875
2024-02-07,WMT,buy,368.66710703081844,55.14911651611328
2024-02-07,NEE,buy,385.3053463507424,52.767669677734375
2024-02-07,PG,buy,134.85702333362576,150.0111541748047
2024-02-14,COST,sell,28.557320415223284,714.333740234375
2024-02-14,WMT,sell,368.66710703081844,54.89516067504883
2024-02-14,NEE,sell,385.3053463507424,52.42137908935547
2024-02-14,PG,sell,134.85702333362576,146.72097778320312
2024-02-14,BA,buy,98.36691022718021,203.3800048828125
2024-02-14,NEM,buy,19.465584909381278,30.75370216369629
2024-02-14,TSLA,buy,106.01378819643153,188.7100067138672
2024-02-14,VZ,buy,576.8932222955422,34.67862319946289
2024-02-14,SLB,buy,441.42697505705735,45.13833999633789
2024-02-22,NEM,sell,650.5188408154429,29.576021194458008
2024-02-22,VZ,sell,576.8932222955422,35.17958068847656
2024-02-22,SLB,sell,441.42697505705735,46.56575393676758
2024-02-22,BA,buy,1.72154169754441,201.5
2024-02-22,TSLA,sell,3.8516753920995086,197.41000366210935
2024-02-22,DE,buy,58.33384466112022,345.7310791015625
2024-02-22,GILD,buy,298.1780087360309,67.63685607910156
2024-02-22,SHOP,buy,267.9861847274156,75.02999877929688
2024-02-29,BA,sell,100.08845192472462,203.72000122070312
2024-02-29,DE,sell,58.33384466112022,353.7449035644531
2024-02-29,SHOP,sell,267.9861847274156,76.37000274658203
2024-02-29,GILD,buy,6.56172005759862,67.00492095947266
2024-02-29,TSLA,sell,1.0175668009714798,201.8800048828125
2024-02-29,CMCSA,buy,552.6066708598842,36.950443267822266
2024-02-29,AMD,buy,106.05651883078899,192.52999877929688
2024-02-29,INTC,buy,477.81059530070826,42.60557556152344
2024-03-07,GILD,sell,304.7397287936295,68.45468139648438
2024-03-07,CMCSA,sell,552.6066708598842,35.99326705932617
2024-03-07,AMD,sell,106.05651883078899,211.3800048828125
2024-03-07,INTC,sell,477.81059530070826,45.67357635498047
2024-03-07,PANW,buy,143.89612585666214,143.2449951171875
2024-03-07,TSLA,buy,14.23413045863397,178.64999389648438
2024-03-07,CL,buy,246.35443382592345,83.66969299316406
2024-03-07,JPM,buy,115.11164275725547,179.06442260742188
2024-03-07,NKE,buy,218.30451539228304,94.03126525878906
2024-03-14,TSLA,sell,115.37867646199452,162.5
2024-03-14,CL,sell,246.35443382592345,83.8690414428711
2024-03-14,JPM,sell,115.11164275725547,179.15972900390625
2024-03-14,NKE,sell,218.30451539228304,96.01359558105467
